name,subtitle,mainCategory,subCategory,price,deposit,images,description,accessories,specs,stock,rentedCount,status,stores
"自动麻将机 静音版","家庭聚会必备","娱乐","麻将",50,100,"https://images.unsplash.com/photo-1606857521015-7f9fcf423740?w=800","全自动洗牌，静音设计，适合家庭聚会使用。配备全自动麻将机，操作简单，适合4人使用。","麻将牌、电源线、说明书","[{""label"":""品牌"",""value"":""雀友""},{""label"":""尺寸"",""value"":""88x88x75cm""},{""label"":""功率"",""value"":""300W""}]",5,203,"valid","伦敦;南安普顿;格拉斯哥"
"手搓麻将 高档版","传统手搓体验","娱乐","麻将",25,50,"https://images.unsplash.com/photo-1606760227091-3dd870d97f1d?w=800","高档手搓麻将，手感细腻，适合喜欢传统麻将体验的用户。","麻将牌144张、骰子2个、收纳盒","[{""label"":""品牌"",""value"":""竹林""},{""label"":""材质"",""value"":""密胺树脂""}]",8,156,"valid","伦敦;南安普顿;曼彻斯特"
"德州扑克筹码套装（500片）","专业级筹码","娱乐","德州扑克",20,50,"https://images.unsplash.com/photo-1541278107931-e006523892df?w=800","500片筹码，专业手感，适合家庭聚会和朋友聚餐使用。","筹码500片、扑克牌2副、庄家按钮、铝制箱","[{""label"":""筹码数量"",""value"":""500片""},{""label"":""材质"",""value"":""ABS+铁芯""},{""label"":""重量"",""value"":""11.5g/片""}]",10,167,"valid","伦敦;南安普顿;曼彻斯特;格拉斯哥"
"专业扑克牌 防水版","耐用防水","娱乐","德州扑克",10,20,"https://images.unsplash.com/photo-1606489584937-e6c9f03f8cd9?w=800","PVC材质，防水耐用，手感顺滑。适合德州扑克等各类扑克游戏。","扑克牌2副、收纳盒","[{""label"":""品牌"",""value"":""KEM""},{""label"":""材质"",""value"":""PVC""}]",15,89,"valid","伦敦;南安普顿;曼彻斯特;爱丁堡"
"骰盅套装 专业版","酒吧必备","娱乐","骰子",15,30,"https://images.unsplash.com/photo-1516975080664-ed2fc6a32937?w=800","专业骰盅套装，适合酒吧游戏和聚会使用。","骰盅4个、骰子20颗、收纳袋","[{""label"":""材质"",""value"":""树脂""}]",12,134,"valid","伦敦;南安普顿;格拉斯哥"
"JBL Flip 6 蓝牙音箱","便携防水音箱","娱乐","蓝牙音箱",18,100,"https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800","JBL Flip 6便携蓝牙音箱，IP67防水防尘，续航12小时。","音箱、充电线、说明书","[{""label"":""品牌"",""value"":""JBL""},{""label"":""防水等级"",""value"":""IP67""},{""label"":""续航"",""value"":""12小时""}]",6,198,"valid","伦敦;南安普顿;曼彻斯特;爱丁堡"
"明基投影仪 4K版","家庭影院首选","娱乐","投影仪",45,500,"https://images.unsplash.com/photo-1593784991095-a205069470b6?w=800","明基4K投影仪，支持HDR，3200流明亮度。","投影仪、遥控器、HDMI线、电源线","[{""label"":""品牌"",""value"":""BenQ""},{""label"":""分辨率"",""value"":""4K UHD""},{""label"":""亮度"",""value"":""3200流明""}]",4,76,"valid","伦敦;南安普顿"
"富士 X100VI 复古相机","人文街拍利器","摄影","CCD",80,12500,"https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=800","富士最新款复古旁轴相机，4020万像素，6档五轴防抖。","64G SD卡、充电器、电池*2、相机包、清洁套装","[{""label"":""型号"",""value"":""富士X100VI""},{""label"":""像素"",""value"":""4020万""},{""label"":""防抖"",""value"":""6.0档五轴防抖""}]",3,156,"valid","伦敦;南安普顿;爱丁堡"
"Sony Cyber-shot DSC-RX100","口袋里的专业相机","摄影","CCD",60,800,"https://images.unsplash.com/photo-1606390289279-c4e71fbb96e8?w=800","索尼黑卡系列，1英寸传感器，便携专业相机。","32G SD卡、充电器、电池*2、相机包","[{""label"":""型号"",""value"":""RX100 VII""},{""label"":""像素"",""value"":""2010万""}]",5,203,"valid","伦敦;曼彻斯特;格拉斯哥"
"GoPro Hero 11 运动相机","极限运动记录","摄影","运动相机",35,500,"https://images.unsplash.com/photo-1606760227091-3dd870d97f1d?w=800","5.3K视频，防水防震，适合极限运动。","64G SD卡、充电器、电池*2、防水壳、自拍杆","[{""label"":""型号"",""value"":""GoPro Hero 11""},{""label"":""视频"",""value"":""5.3K 60fps""},{""label"":""防水"",""value"":""10米""}]",8,342,"valid","伦敦;曼彻斯特;格拉斯哥;爱丁堡"
