name,amount,threshold,expiryDate,rules,total,remaining,status
"新用户专享券",20,100,"2025-12-31","仅限新用户首单使用，满£100可用。不与其他优惠同享。",1000,856,"active"
"周末特惠券",15,80,"2025-06-30","周末（周五-周日）下单可用，满£80可用。",500,234,"active"
"摄影器材专享券",50,200,"2025-09-30","仅限摄影类商品使用，满£200可用。",200,123,"active"
"户外装备券",25,120,"2025-08-31","仅限户外类商品使用，满£120可用。",300,267,"active"
"娱乐设备券",10,50,"2025-07-31","仅限娱乐类商品使用，满£50可用。",800,623,"active"
"长租优惠券",40,150,"2025-12-31","租期7天及以上可用，满£150可用。",150,98,"active"
"生日月专享券",30,100,"2025-12-31","生日当月可用，满£100可用。",500,456,"active"
"学生专享券",18,80,"2025-12-31","学生用户专享，满£80可用。需完成学生认证。",1000,789,"active"
"满减券-小额",5,30,"2025-06-30","满£30可用，适用于所有商品，可叠加使用。",2000,1567,"active"
"VIP专属券",100,500,"2025-12-31","VIP用户专享，满£500可用。",50,43,"active"

